"","Districtcode","Wardcode","Wardname","Population2011Census.x","Crimerate","Openspace","hhSocialRented","JobSeekers","Noqual","Carsperhousehold","LifeExpectancy","Children","Greaterthan65","nonwhite","NotBorninUK","NotEnglishspeaking"
"138"," 00AY","00AYGA","Lambeth - Brixton Hill",15842,112.2,13.1,32.2,7.9,13.8,0.5,76.6,15.7050877414468,7,41.5,37.4,11.1
"139"," 00AY","00AYGM","Lambeth - St. Leonard's",14550,129.7,13.2,14,7.3,12.6,0.6,79.25,NA,NA,NA,NA,NA
"140"," 00AY","00AYGC","Lambeth - Clapham Town",13795,179.5,13.2,29.7,5.1,10.9,0.5,78.6,14.5922435665096,7.3,29.3,35.2,7.8
"141"," 00AU","00AUGN","Islington - Tollington",13311,87.4,13.3,41.9,7.8,17.3,0.4,76.6,17.7221846593043,8,35.8,34.5,12.6
"142"," 00AY","00AYGH","Lambeth - Knight's Hill",14763,90.8,13.3,30.6,9.1,15.9,0.6,76.9,23.2473074578338,9,47.7,35.3,11.6
"143"," 00AW","00AWGC","Kensington and Chelsea - Courtfield",8933,99.4,13.3,9.1,2.7,3.8,0.5,87.85,NA,NA,NA,NA,NA
"144"," 00AM","00AMGS","Hackney - Stoke Newington Central",12445,111.6,13.3,32.2,8.3,14.2,0.4,80.4,15.9582161510647,7,39.9,36.6,13
"145"," 00AC","00ACGR","Barnet - West Finchley",16533,76.1,13.4,7.2,3.3,12.2,0.9,80.75,17.5588217504385,12.5,39.2,44.7,19
"146"," 00AG","00AGGR","Camden - Kilburn",12038,135.2,13.4,42.1,8,17.4,0.4,75.45,17.311845821565,11.2,40.1,47.9,18.7
"147"," 00AD","00ADGS","Bexley - Northumberland Heath",10598,41.1,13.5,9.3,3.8,23.3,1.3,80.7,20.6170975655784,15.1,14.5,9.8,1.9
"148"," 00AZ","00AZGF","Lewisham - Brockley",17156,118.9,13.5,30.1,8.4,11.8,0.5,77.55,15.2483096292842,6.5,43.1,36.8,10.5
"149"," 00AG","00AGGU","Camden - St. Pancras and Somers Town",13818,120.8,13.5,61.2,10.8,22.7,0.3,80.4,NA,NA,NA,NA,NA
"150"," 00AG","00AGGS","Camden - King's Cross",11843,164.3,13.5,46.1,7.5,12.1,0.2,79.2,14.506459511948,7.2,49.2,50.9,22.4
